review_id,probe_candidate_id,case_id,target,effective_context_reduction,selected_audio_version,selected_clip_sha256,raw_sha256,original_clip_sha256,selected_duration_seconds,interval_start_seconds,interval_end_seconds,full_label,original_clip_label,selected_clip_label,selected_binary_endpoint,full_transcript,original_clip_transcript,selected_clip_transcript,label_basis
B001,PCP2_0093,synthetic_004984,500kW,False,repaired_r1,19a99b28b7ca4759c1aeb5e6a8f17dbd8327af3189146fd432832a545815fca7,19a99b28b7ca4759c1aeb5e6a8f17dbd8327af3189146fd432832a545815fca7,7fdaf43b04d49ef34172ab0d355a0b10c636c340fd3bbe34ec81b1c012b15626,3.52,0.0,3.52,W,W,W,non-S,新车关键参数达到五百kW。,新车关键参数达到五百k。,新车关键参数达到五百kW。,Original scoring rule: predefined negative-only match (no new human label)
B002,PCP2_0056,real_news_000285,190N·m,True,original,8e64985b84047546f7705ecc25a922089059706cd8138786daa069cdba1371dd,1a66333e217e134d413f0e6e348b0f35641572c782b071447d52ffed822c78b6,8e64985b84047546f7705ecc25a922089059706cd8138786daa069cdba1371dd,3.58,38.92,42.5,W,O,O,non-S,长安启源 Q05 上市，八万起售，高性价比纯电 SUV。长安启源 Q05 纯电 SUV 正式上市，售价七点九九至十点九九万元，定位紧凑型 SUV，搭载宁德时代磷酸铁锂电池，提供四百零五千米和五百零六千米两种续航版本。车身尺寸四千四百三十五乘一千八百五十五乘一千六百毫米，轴距两千七百三十五毫米，空间利用率高达百分之八十六点六。内饰简约实用，配备高清中控屏和全液晶仪表。动力方面，最大功率一百二十 kW，最大扭矩一百九十 Nm，驾驶体验灵活。,是kW，最大扭矩一百九十，人弹腕驾驶体。,是kW，最大扭矩一百九十，人弹腕驾驶体。,Frozen original transcript label; audio hash unchanged
B003,PCP2_0004,real_news_000320,4-3-3,True,original,1996867285b2f5890358aca7988295dbfc44053d00b9938d6f29a8cef8a472f6,9d9d7449d760a3c335b7f1579d52c2724a74465478769d8bf572f1b8c2b73ecf,1996867285b2f5890358aca7988295dbfc44053d00b9938d6f29a8cef8a472f6,3.0,18.31,21.31,W,W,W,non-S,佛罗伦萨主场迎战卡利亚里，双方阵容出炉。佛罗伦萨将于一月二十四日十八点在主场迎战卡利亚里。佛罗伦萨采用四月一日至四月一日阵型，德赫亚担任门将，皮克利担箭头。卡利亚里则以四减三减出战，由卡普里莱把守大门。双方均有多名球员缺阵，但无人停赛。佛罗伦萨有四人受警告，卡利亚里两人受警告。两队都有充足的替补阵容，以应对比赛。,那里则以四减三减出战，由卡。,那里则以四减三减出战，由卡。,Frozen original transcript label; audio hash unchanged
B004,PCP2_0035,real_news_000405,F-18,True,original,6e5cdf7943330d97642952096cfe0f4c086217203d35a54c4824cce20b4cfbf9,4514ddd73b5ad826c3e854c926d11ed69b24eeb733ef9d230d4be449adfc4b5d,6e5cdf7943330d97642952096cfe0f4c086217203d35a54c4824cce20b4cfbf9,3.0,41.634,44.634,S,W,W,non-S,特朗普团队研判油价飙升至两百美元。特朗普团队被曝研判油价飙升至二百美元的潜在影响，白宫否认相关说法。受中东冲突影响，国际油价已上涨百分之三十至百分之四十。机构警告，若油价长期维持在高位，将引发滞涨。分析认为，油价上涨已推高通胀预期。美国三月CPI预期从百分之二点九升至百分之三点三。特朗普称油价上涨对美国有利，但遭民主党批评。与此同时，伊朗与以色列冲突持续升级。伊朗二十五日对以色列七十多处目标发动导弹打击，并声称击落美军F-18战机。美军否认相关说法。,称击落美军F-杠一八战机，美军。,称击落美军F-杠一八战机，美军。,Frozen original transcript label; audio hash unchanged
B005,PCP2_0018,real_news_000026,11-7,True,original,b84da7e46b60cdea0fd0afd1d98de450934862d823b4a44470b322b90a07e2b2,b5d807ba4600284c4884f11deef967fb439ab9870a69277d3f2ca0743b72c958,b84da7e46b60cdea0fd0afd1d98de450934862d823b4a44470b322b90a07e2b2,3.0,13.67,16.67,W,W,W,non-S,陈俊嵩险胜林兆恒仍出局，亚洲杯十六强无缘。在二零二六年亚洲杯男单循环赛中，陈俊嵩以三比二险胜林兆恒，五局比分为十一比五、六至十一、八至十一、十一至七、十三至十一。尽管取得胜利，陈俊嵩仍无缘十六强，因羽田信史以三比一击败黄奇森。比赛过程跌宕起伏，陈俊嵩在第一局和第四局表现出色，但第二三局落入下风。决胜局中，他顽强拒绝对手逆转，最终以十三至十一艰难取胜。,八至十一，十一至七，十三至十一。,八至十一，十一至七，十三至十一。,Frozen original transcript label; audio hash unchanged
B006,PCP2_0062,real_news_000335,750MW,True,original,fd9d7fe0986173bac5c5f75b5a44e3d1559821c13bd9c5278ff22693c45db94a,4ae6ba2e54b8521206be4a43ee121a04613289dc78c812f6a9fb96cd07817932,fd9d7fe0986173bac5c5f75b5a44e3d1559821c13bd9c5278ff22693c45db94a,3.0,12.0,15.0,W,W,W,non-S,OpenAI携手SiriBurst打造大规模AI推理系统。OpenAI与SiriBurst达成合作协议，计划在2026至2028年间将750兆W规模的SiriBurst芯片纳入AI推理计算资源库。这一合作旨在显著缩短AI服务响应时间，实现实时交互体验，使用户能够利用AI完成更多操作，并处理更高价值的工作负载。,七百五十兆W规模的Siri Plus芯片。,七百五十兆W规模的Siri Plus芯片。,Frozen original transcript label; audio hash unchanged
B007,PCP2_0084,real_news_000182,150kW,True,original,7a0857b4195e49703850856424fe414487123675187d40d5558e293ee6bed101,4db7ee523024c1f5880216d7830ada3e3ed8d4bf0eac2bc09ab54953467ddcc1,7a0857b4195e49703850856424fe414487123675187d40d5558e293ee6bed101,3.0,16.15,19.15,S,W,W,non-S,现代IONIQ 3小型电动SUV将于2026年首发。现代IONIQ 3纯电小型SUV计划于2026年4月全球首发。新车基于eGMP平台打造，采用400伏架构，最大功率可达150kW，提供58千瓦时和81.4千瓦时两种电池容量选择，最大续航里程644千米。外观设计线条柔和，封闭式格栅配合纤细日行灯，六倍造型搭配小鸭尾，增添运动感。高性能版IONIQ 3 N预计2027年推出。,功率可达一百五十kW，提供。,功率可达一百五十kW，提供。,Frozen original transcript label; audio hash unchanged
B008,PCP2_0014,real_news_000012,11-7,True,original,dd5c20812e2ad8806c8cef4f5cf083846f2099dfef228aae2a9de194d7941865,bfdde25bcdaa0bc4a2f9d2a72503d62c2ceb1bb4159b7a1a05264424cc3b6c3a,dd5c20812e2ad8806c8cef4f5cf083846f2099dfef228aae2a9de194d7941865,3.0,10.942791666666666,13.942791666666666,S,W,W,non-S,王艺迪三比零领先，遭逆转决胜局十比一逆袭申裕斌。重庆冠军赛女单四分之一决赛上演惊心动魄大战。王艺迪前三局以十一比七、十一比五、十一比六碾压式领先申裕斌，却在第四局开始遭遇韩国选手强势反扑。申裕斌连扳三局将比分追至三比三平，比赛被拖入决胜局。关键时刻王艺迪爆发，决胜局开场一度以十比一领先，最终十一比二锁定胜局，总比分四比三险胜晋级四强。,一敌前三局以十一至七，十一至五。,一敌前三局以十一至七，十一至五。,Frozen original transcript label; audio hash unchanged
B009,PCP2_0029,real_news_000415,F-35,True,original,dc29dd67ba3cbd44ca6169817865d726eb54e65f2a8609997b2668772d08ab10,399112aa2cf149c8cc860935252469128214f1a31b7cc4c93aad3685483ccba9,dc29dd67ba3cbd44ca6169817865d726eb54e65f2a8609997b2668772d08ab10,3.0,22.038333333333334,25.038333333333334,S,W,W,non-S,美军营救飞行员失败，多架飞机被击落。伊朗媒体报道称，美军营救飞行员行动失败，两架黑鹰直升机和一架 C-130 运输机被击落。伊朗民众纷纷拿枪上山搜寻美军飞行员，部落武装也参与行动。伊朗军方称，开战以来击落多架美军战机，包括 F-35、 F-151 等，装备损失超过 21 亿美元。特朗普威胁对伊朗实施 48 小时最后通牒，并抨击《纽约时报》和北约。伊朗回应称，这反映了美方的无助和紧张，战争已导致伊朗两千多人丧生。,包括F杠三五、F杠一五。,包括F杠三五、F杠一五。,Frozen original transcript label; audio hash unchanged
B010,PCP2_0036,real_news_000009,伊尔-76,True,original,15d58abbaa71cafd9561081f7b66d10fc224f550313ca43964e44b1b28582258,86727f702f3fb248eb5dba22fc183cc474d44d6c0262f57aa02d5c10c909638c,15d58abbaa71cafd9561081f7b66d10fc224f550313ca43964e44b1b28582258,5.36,23.44,28.8,S,W,W,non-S,十三年接迎路见证空军装备跨越发展，从二零一四年到二零二六年，我国连续一三年接迎在韩志愿军烈士遗骸回国。接运护航战机的更迭，见证着中国空军跨越式发展。从二零一四年东方航空波音七四七货机执飞首趟任务，到二零一五年起空军伊尔-76运输机连续五年接运，再到二零二零年国产运-20首次执行任务，今年运-20B接棒。护航战机也从歼-11B升级为歼-20隐形战机，机型迭代升级彰显国防实力提升，承载着祖国对革命先烈的无限尊崇。,二零一五年起，空军伊尔-富七十六运输机连续五年接运，再到。,二零一五年起，空军伊尔-富七十六运输机连续五年接运，再到。,Frozen original transcript label; audio hash unchanged
