item_id,audio_scope,tts_system,probe_candidate_id,case_id,human_audit_outcome,cdrd_label,primary_type,target_span,expected_reading,human_heard_reading,surface_hits,negative_hits,automatic_asr_relation,requires_transcript_review,reviewed_paraformer_relation,transcript_review_note,asr_text,error
mimo_aligned_PCP2_0001,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0001,real_news_000281,confirmed masked,cdrd_entity,sports_score,13-11,十三比十一,十三至十一,,十三至十一,negative_only,False,,,吴 怡 泽 十 三 至 十 一 逆 转 塞 尔 比,
mimo_aligned_PCP2_0003,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0003,real_news_000355,confirmed masked,cdrd_entity,sports_score,6-2,六比二,六至二,,,no_predefined_form,True,,,种 子 辛 钠 以 六 之 二 六 之 二 横,
mimo_aligned_PCP2_0004,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0004,real_news_000320,confirmed masked,cdrd_entity,sports_score,4-3-3,四三三,四减三减,,四减三减,negative_only,False,,,那 里 则 以 四 减 三 减 出 战 由,
mimo_aligned_PCP2_0005,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0005,real_news_000429,confirmed masked,cdrd_entity,sports_score,13-9,十三比九,十三至九,,十三至九,negative_only,False,,,赵 欣 桐 十 三 至 九 淘 汰 丁 俊 辉,
mimo_aligned_PCP2_0007,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0007,real_news_000447,confirmed masked,cdrd_entity,sports_score,31-29,三十一比二十九,三十一至二十九,,三十一至二十九,negative_only,False,,,分 分 别 为 三 十 一 至 二 十 九 二 十 六,
mimo_aligned_PCP2_0008,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0008,real_news_000350,confirmed masked,cdrd_entity,sports_score,10-10,十比十,十至十,,十至十,negative_only,False,,,两 次 关 键 分 十 至 十 后 拿 下 比 赛,
mimo_aligned_PCP2_0009,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0009,real_news_000236,confirmed masked,cdrd_entity,sports_score,6-3,6比3,6至3,,,no_predefined_form,True,,,在 第 二 阶 段 打 出 六 至 三 的 强 势 表 现,
mimo_aligned_PCP2_0011,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0011,real_news_000041,confirmed masked,cdrd_entity,sports_score,3-6,三比六,三至六,,三至六,negative_only,False,,,本 首 盘 状 态 不 佳 三 至 六 告 负 第 二 盘,
mimo_aligned_PCP2_0014,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0014,real_news_000012,confirmed masked,cdrd_entity,sports_score,11-7,十一比七,十一至七,,十一至七,negative_only,False,,,一 敌 前 三 局 以 十 一 至 七 十 一 至 五,
mimo_aligned_PCP2_0015,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0015,real_news_000314,confirmed masked,cdrd_entity,sports_score,2-1,2比1,二之一,,二之一,negative_only,False,,,此 前 中 国 女 足 二 之 一 逆 转 朝 鲜 女 足,
mimo_aligned_PCP2_0017,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0017,real_news_000011,confirmed masked,cdrd_entity,sports_score,4-3,四比三,四至三,,,no_predefined_form,True,,,张 本 美 和 四 十 三 逆 转 快 慢 夺,
mimo_aligned_PCP2_0018,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0018,real_news_000026,confirmed masked,cdrd_entity,sports_score,11-7,十一比七,十一至七,,十一至七,negative_only,False,,,八 至 十 一 十 一 至 七 十 三 至 十 一,
mimo_aligned_PCP2_0019,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0019,real_news_000370,confirmed masked,cdrd_entity,sports_score,2-1,二比一,二至一,,二至一,negative_only,False,,,回 合 卡 利 亚 里 二 至 一 取 胜,
mimo_aligned_PCP2_0020,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0020,real_news_000042,confirmed masked,cdrd_entity,sports_score,4-3,四比三,四至三,,四至三,negative_only,False,,,魔 术 大 比 分 四 至 三 晋 级 次 轮 成 为,
mimo_aligned_PCP2_0021,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0021,real_news_000279,confirmed masked,cdrd_entity,sports_score,21-17,21比17,21至17,,,no_predefined_form,True,,,比 赛 中 以 二 十 一 至 十 七 二 十 一 至 十,
mimo_aligned_PCP2_0023,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0023,real_news_000341,confirmed masked,cdrd_entity,sports_score,6-2,6比2,6至2,,,no_predefined_form,True,,,艾 伦 五 连 鞭 从 六 至 二 被 追 成 七 比 七,
