case_id,source,matched_rule_families,raw_audio_available,included,exclusion_reason
real_news_000001,real_news,hyphen_range,True,True,
real_news_000005,real_news,hyphen_range,True,True,
real_news_000006,real_news,hyphen_range,True,True,
real_news_000009,real_news,military_model,True,True,
real_news_000011,real_news,sports_score;hyphen_range,True,True,
real_news_000012,real_news,sports_score;hyphen_range,True,True,
real_news_000013,real_news,hyphen_range,True,True,
real_news_000014,real_news,hyphen_range,True,True,
real_news_000015,real_news,hyphen_range,True,True,
real_news_000018,real_news,hyphen_range,True,True,
real_news_000019,real_news,hyphen_range,True,True,
real_news_000022,real_news,hyphen_range;tops_compute,True,True,
real_news_000023,real_news,hyphen_range,True,True,
real_news_000025,real_news,hyphen_range,True,True,
real_news_000026,real_news,sports_score;hyphen_range,True,True,
real_news_000033,real_news,tops_compute,True,True,
real_news_000041,real_news,sports_score;hyphen_range,True,True,
real_news_000042,real_news,sports_score;hyphen_range,True,True,
real_news_000049,real_news,generation_label,True,True,
real_news_000057,real_news,,True,False,no_audit_rule_match
real_news_000065,real_news,,True,False,no_audit_rule_match
real_news_000077,real_news,hyphen_range,True,True,
real_news_000087,real_news,generation_label,True,True,
real_news_000103,real_news,tops_compute,True,True,
real_news_000128,real_news,hyphen_range,True,True,
real_news_000139,real_news,generation_label,True,True,
real_news_000140,real_news,hyphen_range,True,True,
real_news_000141,real_news,hyphen_range,True,True,
real_news_000147,real_news,hyphen_range,True,True,
real_news_000148,real_news,quarter,True,True,
real_news_000155,real_news,quarter,True,True,
real_news_000166,real_news,military_model,True,True,
real_news_000196,real_news,hyphen_range;tops_compute,True,True,
real_news_000211,real_news,quarter,True,True,
real_news_000212,real_news,,True,False,no_audit_rule_match
real_news_000235,real_news,quarter,True,True,
real_news_000236,real_news,sports_score;generation_label;hyphen_range,True,True,
real_news_000237,real_news,quarter,True,True,
real_news_000263,real_news,hyphen_range,True,True,
real_news_000270,real_news,hyphen_range,True,True,
real_news_000279,real_news,sports_score;hyphen_range,True,True,
real_news_000280,real_news,sports_score;hyphen_range,True,True,
real_news_000281,real_news,sports_score;generation_label;hyphen_range,True,True,
real_news_000285,real_news,hyphen_range;kw_kwh;nm_torque,True,True,
real_news_000296,real_news,generation_label;hyphen_range,True,True,
real_news_000300,real_news,generation_label,True,True,
real_news_000313,real_news,sports_score;generation_label;hyphen_range,True,True,
real_news_000314,real_news,sports_score;hyphen_range,True,True,
real_news_000319,real_news,hyphen_range;tops_compute,True,True,
real_news_000320,real_news,sports_score;hyphen_range,True,True,
real_news_000322,real_news,military_model,True,True,
real_news_000327,real_news,quarter,True,True,
real_news_000335,real_news,hyphen_range,True,True,
real_news_000341,real_news,sports_score;hyphen_range,True,True,
real_news_000344,real_news,quarter,True,True,
real_news_000349,real_news,sports_score;hyphen_range,True,True,
real_news_000350,real_news,sports_score;generation_label;hyphen_range,True,True,
