item_id,tts_system,probe_candidate_id,human_audit_outcome,cdrd_label,primary_type,target_span,expected_reading,human_heard_reading,surface_hits,negative_hits,automatic_asr_relation,reviewed_qwen_relation,transcript_review_note,asr_text,detected_language,error
mimo_full_PCP2_0001,MiMo-V2.5-TTS API,PCP2_0001,confirmed masked,cdrd_entity,sports_score,13-11,十三比十一,十三至十一,,十三至十一,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,吴宜泽十三至十一逆转塞尔比晋级世锦赛八强，中国两将会师四分之一决赛。二零二六斯诺克世锦赛八强全部产生，零零后选手吴宜泽在与前世锦赛冠军塞尔比的较量中，从四比四战平到九比七领先，最终顶住压力以总比分十三至十一逆转取胜，成功晋级八强，下轮将对阵瓦菲。此前赵心童以十三比九击败丁俊晖，晋级八强后将对阵肖恩墨菲。随着丁俊晖、肖国栋出局，吴宜泽和赵心童成为仅存的两位中国选手，将在四分之一决赛继续征战。,Chinese,
mimo_full_PCP2_0003,MiMo-V2.5-TTS API,PCP2_0003,confirmed masked,cdrd_entity,sports_score,6-2,六比二,六至二,六比二,,surface_correct_only,exact_surface_correct_recovery,canonical score reading appears at the audited occurrence,辛纳兹维列夫会师迈阿密四强，迈阿密大师赛男单四强产生，二号种子辛纳以六比二、六比二横扫本土选手迪亚福，全场轰出十四记ACE球，延续大师赛十五连胜和三十盘连赢纪录。三号种子兹维列夫同样发挥出色，以六比一、六比二击败十八号种子塞伦德罗，成为首位二十五次闯入大师赛四强的九零后球员。半决赛两人将再次上演巅峰对决，辛纳目前对兹维列夫保持六连胜。,Chinese,
mimo_full_PCP2_0004,MiMo-V2.5-TTS API,PCP2_0004,confirmed masked,cdrd_entity,sports_score,4-3-3,四三三,四减三减,,四减三减,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,佛罗伦萨主场迎战卡利亚里，双方阵容出炉。佛罗伦萨将于一月二十四日十八点在主场迎战卡利亚里。佛罗伦萨采用四月一日至四月一日阵型，德赫亚担任门将，皮克利担箭头。卡利亚里则以四减三减出战，由卡普里莱把守大门。双方均有多名球员缺阵，但无人停赛。佛罗伦萨有四人受警告，卡利亚里两人受警告。两队都有充足的替补阵容，以应对比赛。,Chinese,
mimo_full_PCP2_0005,MiMo-V2.5-TTS API,PCP2_0005,confirmed masked,cdrd_entity,sports_score,13-9,十三比九,十三至九,,十三至九,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,赵心童十三至九淘汰丁俊晖，晋级世锦赛八强，赢得四十六万奖金，将战莫菲。二零二六斯诺克世锦赛八分之一决赛，二十九岁卫冕冠军赵心童对阵三十九岁的丁俊晖，这是一场万众瞩目的中国德比。第三阶段比赛中，赵心童在局分十一比八领先后保持优势，轰出单杆一百三十七分过百局，最终以总比分十三至九淘汰丁俊晖，成功晋级八强，获得五万英镑奖金，约合人民币四十六万元。接下来的四分之一决赛，赵心童将对阵肖恩·墨菲，首场比赛将于四月二十八日十七点开打。,Chinese,
mimo_full_PCP2_0007,MiMo-V2.5-TTS API,PCP2_0007,confirmed masked,cdrd_entity,sports_score,31-29,三十一比二十九,三十一至二十九,,三十一至二十九,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,朱婷助力科内利亚诺夺意大利杯冠军。科内利亚诺队在意大利杯决赛中以三比零击败斯坎迪奇队，夺得本赛季首冠。比赛三局比分分别为三十一至二十九、二十六至二十四和二十七至二十五，双方激战胶着。加比以二十二分荣膺MVP，朱婷贡献十三分，助力球队多次化解危机。这是朱婷个人职业生涯的第二十四个冠军头衔。,Chinese,
mimo_full_PCP2_0008,MiMo-V2.5-TTS API,PCP2_0008,confirmed masked,cdrd_entity,sports_score,10-10,十比十,十至十,,十至十,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,陈幸同连续四局决胜分险胜晋级。北京时间四月三日，澳门世界杯女单八分之一决赛，陈幸同四比二击败迪亚兹晋级八强。二十八岁的陈幸同在二比零领先后被追至二比二，但顽强的在第五六局连续两次关键分十至十后拿下比赛。赛后，陈幸同表示，前两局拿下后有些放松，关键分把握不住，但第五局开始放下心态，自己打自己的，最终锁定胜局。他的下一轮对手将是韩莹与申裕斌之间的胜者。,Chinese,
mimo_full_PCP2_0009,MiMo-V2.5-TTS API,PCP2_0009,confirmed masked,cdrd_entity,sports_score,6-3,6比3,6至3,,,no_predefined_form,wrong_or_noncanonical_form_preserved,audited score remains 六至三,吴一泽十比七领先墨菲，再赢八局夺冠，赔率降至一点四四，优势扩大。二零二六年斯诺克世锦赛决赛第二阶段战罢，中国选手吴一泽十比七领先肖恩·墨菲。决赛采取三十五局十八胜制，首阶段双方四比四战平后，吴一泽在第二阶段打出六至三的强势表现。他只需在今晚第三、四阶段再赢八局，就将成为首位夺得世锦赛冠军的零零后球员，助中国实现世锦赛两连冠。最新赔率显示，吴一泽夺冠赔率已从一点八零降至一点四四，优势明显扩大。,Chinese,
mimo_full_PCP2_0011,MiMo-V2.5-TTS API,PCP2_0011,confirmed masked,cdrd_entity,sports_score,3-6,三比六,三至六,,三至六,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,郑钦文决胜盘二比四落后，连赢四局，罗马站逆转邦达尔晋级次轮。五月五日 WTA 一千罗马站首轮，中国金花郑钦文对阵匈牙利选手邦达尔。郑钦文首盘状态不佳，三至六告负。第二盘一度四比零领先后被追至三比四，最终六至三扳回一城。决胜盘他在二比四落后的危急关头，连胜四局，最终以三至六、六至三、六至四逆转取胜，耗时两小时十八分钟晋级次轮。郑钦文下一轮将对阵赛会三十号种子布克萨。,Chinese,
mimo_full_PCP2_0014,MiMo-V2.5-TTS API,PCP2_0014,confirmed masked,cdrd_entity,sports_score,11-7,十一比七,十一至七,十一比七,,surface_correct_only,exact_surface_correct_recovery,canonical score reading appears at the audited occurrence,王艺迪三比零领先，遭逆转决胜局十比一逆袭申裕斌。重庆冠军赛女单四分之一决赛上演惊心动魄大战。王艺迪前三局以十一比七、十一比五、十一比六碾压式领先申裕斌，却在第四局开始遭遇韩国选手强势反扑。申裕斌连扳三局将比分追至三比三平，比赛被拖入决胜局。关键时刻王艺迪爆发，决胜局开场一度以十比一领先，最终十一比二锁定胜局，总比分四比三险胜晋级四强。,Chinese,
mimo_full_PCP2_0015,MiMo-V2.5-TTS API,PCP2_0015,confirmed masked,cdrd_entity,sports_score,2-1,2比1,二之一,,,no_predefined_form,exact_surface_correct_recovery,canonical score reading appears at the audited occurrence,日本台北晋级越印出局女足亚洲杯，二零二六年女足亚洲杯C组收官，日本女足四比零大胜越南女足，中国台北女足三比一击败印度女足，两队携手晋级八强。日本以九分锁定小组第一，中国台北以六分获得第二，越南和印度出局。至此八强全部产生，中国女足将在四分之一决赛对战中国台北女足，比赛将于三月十四日十三点进行。此前中国女足二比一逆转朝鲜女足获得小组头名，成为首支连续十六次晋级淘汰赛的球队。,Chinese,
