annotation_id,probe_candidate_id,case_id,primary_type,cdrd_label,original_label,blind_label,match,blind_raw_span_correctness,blind_asr_relation,blind_notes,original_raw_tts_actual_reading,original_asr_masking_evidence,original_reviewer_note
BLIND30_001,PCP2_0012,real_news_000428,sports_score,cdrd_entity,no Raw TTS error,no Raw TTS error,True,correct,,,,,
BLIND30_002,PCP2_0086,real_news_000366,kw_kwh,non_cdrd,exposed TTS error,confirmed masked,False,wrong,surface-correct/masked,Raw tts 读 500Nm 读错为：500摩尔，fallback default ASR和 MiMo omni strict ASR 都写对为 500Nm,,,
BLIND30_003,PCP2_0103,real_news_000031,tops_compute,non_cdrd,no Raw TTS error,no Raw TTS error,True,correct,,,,,
BLIND30_004,PCP2_0071,real_news_000019,hyphen_range,cdrd_entity,exposed TTS error,no Raw TTS error,False,correct,,,,,
BLIND30_005,PCP2_0072,real_news_000023,hyphen_range,cdrd_entity,exposed TTS error,exposed TTS error,True,wrong,,,,,
BLIND30_006,PCP2_0032,real_news_000435,military_model,cdrd_entity,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  F-35 为  F杠三五，fallback default ASR和MiMo omni strict ASR 都自动写对为  F-35,F杠三五,Raw 读错 F杠三五，Raw ASR transcript、default ASR、omni strict ASR 写对 F-35,
BLIND30_007,PCP2_0060,real_news_000018,hyphen_range,cdrd_entity,exposed TTS error,no Raw TTS error,False,correct,,,,,
BLIND30_008,PCP2_0039,real_news_000049,generation_label,cdrd_entity,no Raw TTS error,no Raw TTS error,True,correct,,,,,
BLIND30_009,PCP2_0094,real_news_000243,vip88,cdrd_polyphone,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  88VIP 为  八十八伏IP，MiMo omni strict ASR 自动写对为  八十八VIP,八十八伏IP,Raw 实际读八十八伏IP，ASR 自动写对 88VIP。,
BLIND30_010,PCP2_0079,real_news_000261,kw_kwh,non_cdrd,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  640kW 为  六百四十kW，fallback default ASR 和 MiMo omni strict ASR 自动写对为  六百四十千瓦,六百四十kw,raw的default ASR、omni strict ASR写对：六百四十千瓦。,
BLIND30_011,PCP2_0030,real_news_000472,military_model,cdrd_entity,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  F-15E 为  F杠一五E ， MiMo omni strict ASR 自动写对为  F-15E,F杠一五E,Raw 读错 F杠一五E，default ASR 写对F-15E。omni strict ASR 写对 F-15E,
BLIND30_012,PCP2_0031,real_news_000473,military_model,cdrd_entity,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  F-15E 为  F杠一五E ， MiMo omni strict ASR 自动写对为  F-15E,F杠一五E,Raw 读错 F杠一五E，omni strict ASR 写对 F-15E,
BLIND30_013,PCP2_0044,real_news_000344,quarter,cdrd_entity,no Raw TTS error,no Raw TTS error,True,correct,,,,,
BLIND30_014,PCP2_0038,real_news_000296,generation_label,cdrd_entity,no Raw TTS error,no Raw TTS error,True,correct,,,,,
BLIND30_015,PCP2_0102,real_news_000272,voltage,cdrd_polyphone,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  350Wh/kg 为 三百五十whkg，main strict ASR和  MiMo omni strict ASR 自动写对为  三百五十瓦时每公斤,三百五十whkg,Raw读错，ASR自动写对三百五十瓦时每公斤。,
BLIND30_016,PCP2_0001,real_news_000281,sports_score,cdrd_entity,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  13-11 为 十三至十一，fallback default ASR  自动写对为  13-11,十三至十一,Raw读错，但ASR写对,
BLIND30_017,PCP2_0056,real_news_000285,hyphen_range,cdrd_entity,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  190N·m 为 一百九十 ，fallback default ASR  自动写对为  190N·m，MiMo omni strict ASR 自动写对为 一百九十牛米,190N·M,Raw/Structured 都没修好，TTS 读 190N·M；ASR 直接写对 190牛·米。,
