probe_candidate_id,case_id,freeze_id,primary_type,target_span,expected_reading,raw_tts_actual_reading,isolated_asr_text,isolated_asr_label,reviewed_isolated_asr_label,reviewed_exposure_strength,reviewed_label_note,alignment_method,alignment_candidate,aligned_clip_start_seconds,aligned_clip_end_seconds,aligned_clip_duration_seconds,clip_audio_path
PCP2_0001,real_news_000281,P1P2_043,sports_score,13-11,十三比十一,十三至十一,,no_output,no_output,,empty isolated ASR output,candidate_match,13-11,0.0,3.0,3.0,audio/span_isolation_aligned_clips/PCP2_0001_real_news_000281_13-11_aligned.wav
PCP2_0003,real_news_000355,P1P2_058,sports_score,6-2,六比二,六至二,种子心纳已六之二六之二横三,other_transcript,exposed,strong,"outputs 六之二, a close homophone of 六至二 rather than 六比二",candidate_match,6-2,6.762,9.762,3.0,audio/span_isolation_aligned_clips/PCP2_0003_real_news_000355_6-2_aligned.wav
PCP2_0004,real_news_000320,P1P2_050,sports_score,4-3-3,四三三,四减三减,,no_output,no_output,,empty isolated ASR output,nearest_chunk_fallback,,18.31,21.31,3.0,audio/span_isolation_aligned_clips/PCP2_0004_real_news_000320_4-3-3_aligned.wav
PCP2_0005,real_news_000429,P1P2_074,sports_score,13-9,十三比九,十三至九,赵心童十三比九淘汰丁俊晖VS,still_masked,still_masked,,outputs 十三比九,candidate_match,13-9,0.0,3.0,3.0,audio/span_isolation_aligned_clips/PCP2_0005_real_news_000429_13-9_aligned.wav
PCP2_0007,real_news_000447,P1P2_080,sports_score,31-29,三十一比二十九,三十一至二十九,,no_output,no_output,,empty isolated ASR output,candidate_match,31-29,12.606,15.606,3.0,audio/span_isolation_aligned_clips/PCP2_0007_real_news_000447_31-29_aligned.wav
PCP2_0008,real_news_000350,P1P2_057,sports_score,10-10,十比十,十至十,两次关键分实至时候拿下比赛,other_transcript,other_transcript,,no clear target reading; transcript drifts to 实至时候,candidate_match,十至十,18.087,21.087,3.0,audio/span_isolation_aligned_clips/PCP2_0008_real_news_000350_10-10_aligned.wav
PCP2_0009,real_news_000236,P1P2_037,sports_score,6-3,6比3,6至3,在第二阶段打出六比三的强势表现。,other_transcript,still_masked,,outputs 六比三,candidate_match,6-3,20.638,23.638,3.0,audio/span_isolation_aligned_clips/PCP2_0009_real_news_000236_6-3_aligned.wav
PCP2_0011,real_news_000041,P1P2_017,sports_score,3-6,三比六,三至六,本轮首盘状态不佳，三至六告负，第二盘,exposed,exposed,strong,outputs 三至六,candidate_match,3-6,13.039,16.039,3.0,audio/span_isolation_aligned_clips/PCP2_0011_real_news_000041_3-6_aligned.wav
PCP2_0014,real_news_000012,P1P2_006,sports_score,11-7,十一比七,十一至七,李迪前三局以十一比七，十一比五。,still_masked,still_masked,,outputs 十一比七,candidate_match,11-7,10.943,13.943,3.0,audio/span_isolation_aligned_clips/PCP2_0014_real_news_000012_11-7_aligned.wav
PCP2_0015,real_news_000314,P1P2_048,sports_score,2-1,2比1,二之一,此前中国女足二比一逆转朝鲜女足,other_transcript,still_masked,,outputs 二比一,candidate_match,2-1,30.872,33.872,3.0,audio/span_isolation_aligned_clips/PCP2_0015_real_news_000314_2-1_aligned.wav
