item_id,tts_system,probe_candidate_id,human_audit_outcome,cdrd_label,primary_type,target_span,expected_reading,human_heard_reading,surface_hits,negative_hits,automatic_asr_relation,reviewed_qwen_relation,transcript_review_note,asr_text,detected_language,error
mimo_aligned_PCP2_0001,MiMo-V2.5-TTS API,PCP2_0001,confirmed masked,cdrd_entity,sports_score,13-11,十三比十一,十三至十一,,十三至十一,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,无疑，则十三至十一逆转塞尔比。,Chinese,
mimo_aligned_PCP2_0003,MiMo-V2.5-TTS API,PCP2_0003,confirmed masked,cdrd_entity,sports_score,6-2,六比二,六至二,,,no_predefined_form,wrong_or_noncanonical_form_preserved,六之二 is noncanonical and does not recover the score reading,种子锌钠以六之二，六之二横。,Chinese,
mimo_aligned_PCP2_0004,MiMo-V2.5-TTS API,PCP2_0004,confirmed masked,cdrd_entity,sports_score,4-3-3,四三三,四减三减,,四减三减,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,那里则以四减三减出战，由卡。,Chinese,
mimo_aligned_PCP2_0005,MiMo-V2.5-TTS API,PCP2_0005,confirmed masked,cdrd_entity,sports_score,13-9,十三比九,十三至九,,十三至九,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,赵欣桐十三至九淘汰丁俊晖。,Chinese,
mimo_aligned_PCP2_0007,MiMo-V2.5-TTS API,PCP2_0007,confirmed masked,cdrd_entity,sports_score,31-29,三十一比二十九,三十一至二十九,,三十一至二十九,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,分分别为三十一至二十九、二十六。,Chinese,
mimo_aligned_PCP2_0008,MiMo-V2.5-TTS API,PCP2_0008,confirmed masked,cdrd_entity,sports_score,10-10,十比十,十至十,,,no_predefined_form,other_no_exact_surface_recovery,garbled transcript contains neither a canonical nor clean negative score form,两次关键分，实质时候拿下比赛。,Chinese,
mimo_aligned_PCP2_0009,MiMo-V2.5-TTS API,PCP2_0009,confirmed masked,cdrd_entity,sports_score,6-3,6比3,6至3,,,no_predefined_form,wrong_or_noncanonical_form_preserved,六至三 preserves the wrong range-like reading,在第二阶段打出六至三的强势表现。,Chinese,
mimo_aligned_PCP2_0011,MiMo-V2.5-TTS API,PCP2_0011,confirmed masked,cdrd_entity,sports_score,3-6,三比六,三至六,,三至六,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,本首盘状态不佳，三至六告负。第二盘。,Chinese,
mimo_aligned_PCP2_0014,MiMo-V2.5-TTS API,PCP2_0014,confirmed masked,cdrd_entity,sports_score,11-7,十一比七,十一至七,,十一至七,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,一敌前三局以十一至七，十一至五。,Chinese,
mimo_aligned_PCP2_0015,MiMo-V2.5-TTS API,PCP2_0015,confirmed masked,cdrd_entity,sports_score,2-1,2比1,二之一,,,no_predefined_form,exact_surface_correct_recovery,canonical score reading remains after isolation,此前，中国女足二比一逆转朝鲜女足。,Chinese,
mimo_aligned_PCP2_0017,MiMo-V2.5-TTS API,PCP2_0017,confirmed masked,cdrd_entity,sports_score,4-3,四比三,四至三,四比三,,surface_correct_only,exact_surface_correct_recovery,canonical score reading remains after isolation,张本美和四比三逆转蒯曼夺。,Chinese,
mimo_aligned_PCP2_0018,MiMo-V2.5-TTS API,PCP2_0018,confirmed masked,cdrd_entity,sports_score,11-7,十一比七,十一至七,,十一至七,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,八至十一，十一至七，十三至十一。,Chinese,
mimo_aligned_PCP2_0019,MiMo-V2.5-TTS API,PCP2_0019,confirmed masked,cdrd_entity,sports_score,2-1,二比一,二至一,二比一,,surface_correct_only,exact_surface_correct_recovery,canonical score reading remains after isolation,灰和卡利亚里二比一取胜。,Chinese,
mimo_aligned_PCP2_0020,MiMo-V2.5-TTS API,PCP2_0020,confirmed masked,cdrd_entity,sports_score,4-3,四比三,四至三,,四至三,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,魔术大比分四至三晋级次轮，成为。,Chinese,
mimo_aligned_PCP2_0021,MiMo-V2.5-TTS API,PCP2_0021,confirmed masked,cdrd_entity,sports_score,21-17,21比17,21至17,,,no_predefined_form,wrong_or_noncanonical_form_preserved,二十一至十七 exposes the wrong range-like reading,比赛中以二十一至十七，二十一至十。,Chinese,
mimo_aligned_PCP2_0023,MiMo-V2.5-TTS API,PCP2_0023,confirmed masked,cdrd_entity,sports_score,6-2,6比2,6至2,,,no_predefined_form,wrong_or_noncanonical_form_preserved,六至二 exposes the wrong range-like reading,艾伦五连鞭从六至二被追成七比七。,Chinese,
mimo_aligned_PCP2_0024,MiMo-V2.5-TTS API,PCP2_0024,confirmed masked,cdrd_entity,sports_score,4-2,四比二,四至二,,四至二,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,王曼玉四至二，逆转身，玉斌。,Chinese,
mimo_aligned_PCP2_0026,MiMo-V2.5-TTS API,PCP2_0026,confirmed masked,cdrd_entity,sports_score,0-3,零比三,零至三,,零至三,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,决赛首回合，零至三惨败水晶宫。,Chinese,
mimo_aligned_PCP2_0027,MiMo-V2.5-TTS API,PCP2_0027,confirmed masked,cdrd_entity,sports_score,96-113,九十六比一百一十三,九十六至一百一十三,,九十六至一百一十三,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,掘金以九十六至一百一十三惨败。,Chinese,
mimo_aligned_PCP2_0028,MiMo-V2.5-TTS API,PCP2_0028,confirmed masked,cdrd_entity,sports_score,3-0,3比0,3至0,,,no_predefined_form,wrong_or_noncanonical_form_preserved,三至零 exposes the wrong range-like reading,中国女足三至零完胜乌兹别克。,Chinese,
mimo_aligned_PCP2_0029,MiMo-V2.5-TTS API,PCP2_0029,confirmed masked,cdrd_entity,military_model,F-35,F三五,F杠三五,,F杠三五,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,包括F杠三五、F杠一五。,Chinese,
mimo_aligned_PCP2_0030,MiMo-V2.5-TTS API,PCP2_0030,confirmed masked,cdrd_entity,military_model,F-15E,F一五E,F杠一五E,F-15E,,surface_correct_only,exact_surface_correct_recovery,canonical model form remains after isolation,美军一架F-15E战斗机在对。,Chinese,
mimo_aligned_PCP2_0031,MiMo-V2.5-TTS API,PCP2_0031,confirmed masked,cdrd_entity,military_model,F-15E,F一五E,F杠一五E,,,no_predefined_form,wrong_or_noncanonical_form_preserved,杠 reading remains in the isolated transcript,美军营救被击落F杠幺五一。,Chinese,
mimo_aligned_PCP2_0032,MiMo-V2.5-TTS API,PCP2_0032,confirmed masked,cdrd_entity,military_model,F-35,F三五,F杠三五,F-35,,surface_correct_only,exact_surface_correct_recovery,canonical model form remains after isolation,击落美军F-35战机及多架。,Chinese,
mimo_aligned_PCP2_0033,MiMo-V2.5-TTS API,PCP2_0033,confirmed masked,cdrd_entity,military_model,运-20B,运二零B,运负二十B,,运负二十B | 运负二十,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,歼二零运负二十B空中对话护送。,Chinese,
mimo_aligned_PCP2_0034,MiMo-V2.5-TTS API,PCP2_0034,confirmed masked,cdrd_entity,military_model,B-2,B二,B杠二,B二,,surface_correct_only,exact_surface_correct_recovery,canonical model form remains after isolation,动用F-三五B-二轰炸机等打击。,Chinese,
mimo_aligned_PCP2_0035,MiMo-V2.5-TTS API,PCP2_0035,confirmed masked,cdrd_entity,military_model,F-18,F十八,F杠十八,,,no_predefined_form,wrong_or_noncanonical_form_preserved,杠 reading remains in the isolated transcript,称击落美军F-杠一八战机，美军。,Chinese,
mimo_aligned_PCP2_0036,MiMo-V2.5-TTS API,PCP2_0036,confirmed masked,cdrd_entity,military_model,伊尔-76,伊尔七六,伊尔负七六,,,no_predefined_form,wrong_or_noncanonical_form_preserved,富/负 reading remains noncanonical in the isolated transcript,二零一五年起，空军伊尔-富七十六运输机连续五年接运，再到。,Chinese,
mimo_aligned_PCP2_0037,MiMo-V2.5-TTS API,PCP2_0037,confirmed masked,cdrd_entity,military_model,F-16,F16,F杠16,,,no_predefined_form,exact_surface_correct_recovery,hyphenated canonical model form replaces the heard 杠 reading,部署在中东，F-一六和A-一零。,Chinese,
mimo_aligned_PCP2_0043,MiMo-V2.5-TTS API,PCP2_0043,confirmed masked,cdrd_entity,quarter,58kW,五十八千瓦,五十八KW,,五十八KW,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,系统最大功率五十八kW，最高车速。,Chinese,
mimo_aligned_PCP2_0056,MiMo-V2.5-TTS API,PCP2_0056,confirmed masked,cdrd_entity,hyphen_range,190N·m,190牛·米,190N·M,,,no_predefined_form,other_no_exact_surface_recovery,the unit is omitted or garbled rather than canonically recovered,是kW，最大扭矩一百九十，人弹腕驾驶体。,Chinese,
mimo_aligned_PCP2_0062,MiMo-V2.5-TTS API,PCP2_0062,confirmed masked,cdrd_entity,hyphen_range,750MW,七百五十兆瓦,七百五十兆W,,七百五十兆W,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,七百五十兆W规模的Siri Plus芯片。,Chinese,
mimo_aligned_PCP2_0064,MiMo-V2.5-TTS API,PCP2_0064,confirmed masked,cdrd_entity,hyphen_range,737-8,七百三十 八,七三七负八,,七三七负八 | 负,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,五十架波音七三七负八机队规模。,Chinese,
mimo_aligned_PCP2_0079,MiMo-V2.5-TTS API,PCP2_0079,confirmed masked,non_cdrd,kw_kwh,640kW,六百四十千瓦,六百四十kw,,六百四十kw,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,之充电功率六百四十kW，十分钟。,Chinese,
mimo_aligned_PCP2_0081,MiMo-V2.5-TTS API,PCP2_0081,confirmed masked,non_cdrd,kw_kwh,105kW,一百零五千瓦,一百零五kW,,一百零五kW,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,最大功率一百零五kW，最大扭。,Chinese,
mimo_aligned_PCP2_0082,MiMo-V2.5-TTS API,PCP2_0082,confirmed masked,non_cdrd,kw_kwh,200kW,二百千瓦,二百kW,,二百kW,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,系统提供二百kW和二百四十kW。,Chinese,
mimo_aligned_PCP2_0083,MiMo-V2.5-TTS API,PCP2_0083,confirmed masked,non_cdrd,kw_kwh,230kW,二百三十千瓦,二百三十kW,,二百三十kW,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,发动机和二百三十kW电动机。,Chinese,
mimo_aligned_PCP2_0084,MiMo-V2.5-TTS API,PCP2_0084,confirmed masked,non_cdrd,kw_kwh,150kW,一百五十千瓦,一百五十kw,,一百五十kw,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,功率可达一百五十kW，提供。,Chinese,
mimo_aligned_PCP2_0085,MiMo-V2.5-TTS API,PCP2_0085,confirmed masked,non_cdrd,kw_kwh,15kW,十五千瓦,十五kW,,十五kW,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,供电功率达十五kW。,Chinese,
mimo_aligned_PCP2_0087,MiMo-V2.5-TTS API,PCP2_0087,confirmed masked,non_cdrd,kw_kwh,430kW,四百三十千瓦,四百三十kW,,四百三十kW,negative_only,wrong_or_noncanonical_form_preserved,predefined negative reading is present,最大功率四百三十kW，提供增。,Chinese,
mimo_aligned_PCP2_0090,MiMo-V2.5-TTS API,PCP2_0090,confirmed masked,non_cdrd,kw_kwh,180kW,180千瓦,180kW,,,no_predefined_form,wrong_or_noncanonical_form_preserved,letter-unit reading remains in the isolated transcript,增至一百八十kW，申报图显示。,Chinese,
