probe_candidate_id,case_id,freeze_id,source,domain,cdrd_label,primary_type,prior_mimo_audit_outcome,cosyvoice_outcome,confidence,target_span_review,expected_reading_review,cosyvoice_heard_reading,mimo_asr_behavior,whisper_asr_behavior,evidence_note,reviewer_note,normalization_note,audio_path,exported_at
PCP2_0001,real_news_000281,P1P2_043,real_news,sports,cdrd_entity,sports_score,confirmed masked,confirmed masked,high,13-11,十三比十一,十三减十一,exposes wrong reading,writes expected/correct,Whisper small ASR 写对了 13-11,,,audio/raw_110/PCP2_0001_real_news_000281_raw.wav,2026-06-14T02:48:46.724Z
PCP2_0002,real_news_000313,P1P2_047,real_news,sports,cdrd_entity,sports_score,,no Raw TTS error,,10后,一零后,,,,,,,audio/raw_110/PCP2_0002_real_news_000313_raw.wav,2026-06-14T02:48:46.724Z
PCP2_0003,real_news_000355,P1P2_058,real_news,sports,cdrd_entity,sports_score,confirmed masked,confirmed masked,high,6-2,六比二,六减二,exposes wrong reading,writes expected/correct,Whisper small ASR 写对为  6-2,,,audio/raw_110/PCP2_0003_real_news_000355_raw.wav,2026-06-14T02:48:46.724Z
PCP2_0004,real_news_000320,P1P2_050,real_news,sports,cdrd_entity,sports_score,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0004_real_news_000320_raw.wav,2026-06-14T02:48:46.724Z
PCP2_0005,real_news_000429,P1P2_074,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,13-9,十三比九,十三减九,writes expected/correct,writes expected/correct,MiMo strict ASR 写对为 十三比九，Whisper small ASR 写对为 13-9,,,audio/raw_110/PCP2_0005_real_news_000429_raw.wav,2026-06-14T02:48:46.724Z
PCP2_0006,real_news_000434,P1P2_076,real_news,general,cdrd_entity,sports_score,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0006_real_news_000434_raw.wav,2026-06-14T02:48:46.724Z
PCP2_0007,real_news_000447,P1P2_080,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,31-29,31比29,三十一减二十九,exposes wrong reading,writes expected/correct,Whisper ASR 写对为 31-29,,,audio/raw_110/PCP2_0007_real_news_000447_raw.wav,2026-06-14T02:48:46.724Z
PCP2_0008,real_news_000350,P1P2_057,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,4-2,四比二,四减二,writes expected/correct,writes expected/correct,MiMo ASR 写对为：四比二，Whisper ASR 写对为：4-2,,,audio/raw_110/PCP2_0008_real_news_000350_raw.wav,2026-06-14T02:48:46.724Z
PCP2_0009,real_news_000236,P1P2_037,real_news,sports,cdrd_entity,sports_score,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0009_real_news_000236_raw.wav,2026-06-14T02:48:46.724Z
PCP2_0010,real_news_000397,P1P2_063,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,0-1,零比一,零减一,writes expected/correct,exposes wrong reading,MiMo ASR 写对为 零比一,,,audio/raw_110/PCP2_0010_real_news_000397_raw.wav,2026-06-14T02:48:46.724Z
PCP2_0011,real_news_000041,P1P2_017,real_news,general,cdrd_entity,sports_score,,confirmed masked,high,2-4,二比四,二减四,exposes wrong reading,writes expected/correct,Whisper ASR  写对为 2-4,,,audio/raw_110/PCP2_0011_real_news_000041_raw.wav,2026-06-14T02:48:46.724Z
PCP2_0012,real_news_000428,P1P2_073,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,1-0,一比零,一减零,writes expected/correct,exposes wrong reading,MiMo ASR 写对 为  一比零,,,audio/raw_110/PCP2_0012_real_news_000428_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0013,real_news_000442,P1P2_079,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,4-1,四比一,四减一,writes expected/correct,exposes wrong reading,MiMo ASR 写对为 四比一,,,audio/raw_110/PCP2_0013_real_news_000442_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0014,real_news_000012,P1P2_006,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,3-0,三比零,三减零,writes expected/correct,writes expected/correct,MiMo ASR 写对为：三比零  ，Whisper ASR写对为：3-0,,,audio/raw_110/PCP2_0014_real_news_000012_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0015,real_news_000314,P1P2_048,real_news,sports,cdrd_entity,sports_score,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0015_real_news_000314_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0016,real_news_000418,P1P2_070,real_news,sports,cdrd_entity,sports_score,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0016_real_news_000418_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0017,real_news_000011,P1P2_005,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,4-3,四比三,四减三,writes expected/correct,writes expected/correct,MiMo ASR 写对为：四比三，Whisper ASR写对为：4-3,,,audio/raw_110/PCP2_0017_real_news_000011_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0018,real_news_000026,P1P2_015,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,3-2,三比二,三减二,writes expected/correct,writes expected/correct,MiMo ASR  写对为：三比二，Whisper ASR 写对为：3-2,,,audio/raw_110/PCP2_0018_real_news_000026_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0019,real_news_000370,P1P2_059,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,2-1,二比一,二减一,writes expected/correct,writes expected/correct,MiMo ASR 写对为 二比一，Whisper ASR写对为 2-1,,,audio/raw_110/PCP2_0019_real_news_000370_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0020,real_news_000042,P1P2_018,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,1-3,一比三,一减三,exposes wrong reading,writes expected/correct,Whisper ASR  写对为 1-3,,,audio/raw_110/PCP2_0020_real_news_000042_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0021,real_news_000279,P1P2_041,real_news,sports,cdrd_entity,sports_score,confirmed masked,confirmed masked,high,21-17, 21比17, 21减17,writes expected/correct,writes expected/correct,MiMo ASR 写对  21比17，Whisper ASR写对为 21-17,,,audio/raw_110/PCP2_0021_real_news_000279_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0022,real_news_000280,P1P2_042,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,8-8,八比八,八减八,writes expected/correct,writes expected/correct,MiMo ASR 写对为 八比八，Whisper ASR写对为 8-8,,,audio/raw_110/PCP2_0022_real_news_000280_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0023,real_news_000341,P1P2_054,real_news,general,cdrd_entity,sports_score,confirmed masked,confirmed masked,,6-2,6比2,6减2,exposes wrong reading,writes expected/correct,Whisper ASR 写对 6-2。,,,audio/raw_110/PCP2_0023_real_news_000341_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0024,real_news_000349,P1P2_056,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,4-2,四比二,四减二,writes expected/correct,writes expected/correct,MiMo ASR  写对为：四比二。Whisper ASR写对为：4-2,,,audio/raw_110/PCP2_0024_real_news_000349_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0025,real_news_000393,P1P2_062,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,1-0,一比零,一减零,writes expected/correct,exposes wrong reading,MiMo ASR 写对为 一比零,,,audio/raw_110/PCP2_0025_real_news_000393_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0026,real_news_000413,P1P2_068,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,0-3,零比三,零减三,writes expected/correct,exposes wrong reading,MiMo ASR 写对为 零比三,,,audio/raw_110/PCP2_0026_real_news_000413_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0027,real_news_000430,P1P2_075,real_news,sports,cdrd_entity,sports_score,,confirmed masked,high,1-2,一比二,一减二,exposes wrong reading,writes expected/correct,Whisper ASR 写对为 1-2,,,audio/raw_110/PCP2_0027_real_news_000430_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0028,real_news_000439,P1P2_078,real_news,general,cdrd_entity,sports_score,,confirmed masked,high,3-0,三比零,三减零,writes expected/correct,writes expected/correct,MiMo ASR 写对为 三比零，Whisper ASR 写对为 3-0,,,audio/raw_110/PCP2_0028_real_news_000439_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0029,real_news_000415,P1P2_069,real_news,military,cdrd_entity,military_model,confirmed masked,confirmed masked,high,F-35,F三五,F负三五,writes expected/correct,writes expected/correct,MiMo ASR 写对为 F-35，Whisper ASR 写对为 F-35,,,audio/raw_110/PCP2_0029_real_news_000415_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0030,real_news_000472,P1P2_083,real_news,military,cdrd_entity,military_model,,confirmed masked,high,F-15E,F一五E,F负十五E,writes expected/correct,writes expected/correct,MiMo ASR 写对为 F-15E，Whisper ASR 写对为 F-15E,,,audio/raw_110/PCP2_0030_real_news_000472_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0031,real_news_000473,P1P2_084,real_news,military,cdrd_entity,military_model,,confirmed masked,high,F-15E,F一五E、F十五E,F负十五E,writes expected/correct,exposes wrong reading,MiMo ASR 写对为 F十五E,,,audio/raw_110/PCP2_0031_real_news_000473_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0032,real_news_000435,P1P2_077,real_news,tech,cdrd_entity,military_model,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0032_real_news_000435_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0033,real_news_000166,P1P2_032,real_news,military,cdrd_entity,military_model,,confirmed masked,high,运-20B,运二十B、运二零B,运负二十B,writes expected/correct,exposes wrong reading,MiMo ASR  写对为 运二十B,,,audio/raw_110/PCP2_0033_real_news_000166_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0034,real_news_000421,P1P2_071,real_news,tech,cdrd_entity,military_model,,confirmed masked,high,B-2,B 二,B负二,writes expected/correct,writes expected/correct,MiMo ASR 写对为B 二，Whisper ASR写对为 B-42，另一种型号,,,audio/raw_110/PCP2_0034_real_news_000421_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0035,real_news_000405,P1P2_066,real_news,military,cdrd_entity,military_model,,confirmed masked,high,F-18,F十八,F负十八,writes expected/correct,writes expected/correct,MiMo ASR 写对为 F十八，Whisper ASR写对为 F-18,,,audio/raw_110/PCP2_0035_real_news_000405_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0036,real_news_000009,P1P2_004,real_news,military,cdrd_entity,military_model,confirmed masked,exposed TTS error,,伊尔-76,伊尔七六,,,,,,,audio/raw_110/PCP2_0036_real_news_000009_raw.wav,2026-06-14T02:48:46.725Z
