tts,probe_candidate_id,case_id,primary_label,target,expected_record,heard_record,retained_in_restricted_score_check,reason,interpretation
MiMo,PCP2_0001,real_news_000281,confirmed masked,13-11,十三比十一,十三至十一,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0003,real_news_000355,confirmed masked,6-2,六比二,六至二,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0004,real_news_000320,confirmed masked,4-3-3,四三三,四减三减,False,outside_two_number_score_scope,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0005,real_news_000429,confirmed masked,13-9,十三比九,十三至九,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0007,real_news_000447,confirmed masked,31-29,三十一比二十九,三十一至二十九,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0008,real_news_000350,confirmed masked,10-10,十比十,十至十,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0009,real_news_000236,confirmed masked,6-3,6比3,6至3,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0011,real_news_000041,confirmed masked,3-6,三比六,三至六,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0014,real_news_000012,confirmed masked,11-7,十一比七,十一至七,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0015,real_news_000314,confirmed masked,2-1,2比1,二之一,False,heard_annotation_not_an_explicit_value_preserving_relation_error,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0017,real_news_000011,confirmed masked,4-3,四比三,四至三,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0018,real_news_000026,confirmed masked,11-7,十一比七,十一至七,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0019,real_news_000370,confirmed masked,2-1,二比一,二至一,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0020,real_news_000042,confirmed masked,4-3,四比三,四至三,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0021,real_news_000279,confirmed masked,21-17,21比17,21至17,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0023,real_news_000341,confirmed masked,6-2,6比2,6至2,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0024,real_news_000349,confirmed masked,4-2,四比二,四至二,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0026,real_news_000413,confirmed masked,0-3,零比三,零至三,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0027,real_news_000430,confirmed masked,96-113,九十六比一百一十三,九十六至一百一十三,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0028,real_news_000439,confirmed masked,3-0,3比0,3至0,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0029,real_news_000415,confirmed masked,F-35,F三五,F杠三五,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0030,real_news_000472,confirmed masked,F-15E,F一五E,F杠一五E,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0031,real_news_000473,confirmed masked,F-15E,F一五E,F杠一五E,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0032,real_news_000435,confirmed masked,F-35,F三五,F杠三五,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0033,real_news_000166,confirmed masked,运-20B,运二零B,运负二十B,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
