item_id,audio_scope,tts_system,probe_candidate_id,case_id,human_audit_outcome,cdrd_label,primary_type,target_span,expected_reading,human_heard_reading,surface_hits,negative_hits,automatic_asr_relation,requires_transcript_review,reviewed_paraformer_relation,transcript_review_note,asr_text,error
mimo_full_PCP2_0001,full_sentence,MiMo-V2.5-TTS API,PCP2_0001,real_news_000281,confirmed masked,cdrd_entity,sports_score,13-11,十三比十一,十三至十一,,十三至十一,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,吴 怡 泽 十 三 至 十 一 逆 转 塞 尔 比 晋 级 世 锦 赛 八 强 中 国 两 将 会 师 四 分 之 一 决 赛 二 零 二 六 斯 诺 克 世 锦 赛 八 强 全 部 产 生 零 零 后 选 手 吴 怡 泽 在 与 前 世 锦 赛 冠 军 塞 尔 比 的 较 量 中 从 四 比 四 战 平 到 九 比 七 领 先 最 终 顶 住 压 力 以 总 比 分 十 三 至 十 一 逆 转 取 胜 成 功 晋 级 八 强 下 轮 将 对 阵 瓦 菲 此 前 赵 欣 彤 以 十 三 比 九 击 败 丁 俊 晖 晋 级 八 强 后 将 对 阵 肖 恩 墨 菲 此 前 丁 俊 晖 肖 国 栋 出 局 吴 怡 泽 和 赵 欣 彤 成 为 仅 存 的 两 位 中 国 选 手 将 在 四 分 之 一 决 赛 继 续 征 战,
mimo_full_PCP2_0003,full_sentence,MiMo-V2.5-TTS API,PCP2_0003,real_news_000355,confirmed masked,cdrd_entity,sports_score,6-2,六比二,六至二,六比二,,surface_correct_only,False,wrong_or_noncanonical_form_preserved,audited occurrence is 六之二; 六比二 occurs later,辛 纳 兹 维 列 夫 会 师 迈 阿 密 四 强 迈 阿 密 大 师 赛 男 单 四 强 产 生 二 号 种 子 辛 纳 以 六 之 二 六 之 二 横 扫 本 土 选 手 低 压 服 全 场 轰 出 十 四 记 AC 一 球 延 续 大 师 赛 十 五 连 胜 和 三 十 盘 连 赢 记 录 三 号 种 子 兹 维 列 夫 同 样 发 挥 出 色 以 六 至 一 六 比 二 击 败 十 八 号 种 子 塞 伦 德 罗 成 为 首 位 二 十 五 次 闯 入 大 师 赛 四 强 的 九 零 后 球 员 半 决 赛 两 人 将 再 次 上 演 巅 峰 对 决 辛 纳 目 前 对 兹 维 列 夫 保 持 六 连 胜,
mimo_full_PCP2_0004,full_sentence,MiMo-V2.5-TTS API,PCP2_0004,real_news_000320,confirmed masked,cdrd_entity,sports_score,4-3-3,四三三,四减三减,,四减三减,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,佛 罗 伦 萨 主 场 迎 战 卡 利 亚 里 双 方 阵 容 出 炉 佛 罗 伦 萨 将 于 一 月 二 十 四 日 十 八 点 在 主 场 迎 战 卡 利 亚 里 佛 罗 伦 萨 采 用 四 月 一 日 至 四 月 一 日 阵 型 德 赫 亚 担 任 门 将 皮 克 利 担 箭 头 卡 利 亚 里 则 以 四 减 三 减 出 战 由 卡 普 里 莱 把 守 大 门 双 方 均 有 多 名 球 员 缺 阵 但 无 人 停 赛 佛 罗 伦 萨 有 四 人 受 警 告 卡 利 亚 里 两 人 受 警 告 两 队 都 有 充 足 的 替 补 阵 容 以 应 对 比 赛,
mimo_full_PCP2_0005,full_sentence,MiMo-V2.5-TTS API,PCP2_0005,real_news_000429,confirmed masked,cdrd_entity,sports_score,13-9,十三比九,十三至九,,十三至九,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,赵 欣 彤 十 三 至 九 淘 汰 丁 俊 晖 晋 级 世 锦 赛 八 强 赢 得 四 十 六 万 奖 金 将 战 墨 菲 二 零 二 六 斯 诺 克 世 锦 赛 八 分 之 一 决 赛 二 十 九 岁 卫 冕 冠 军 赵 欣 彤 对 阵 三 十 九 岁 的 丁 俊 晖 这 是 一 场 万 众 瞩 目 的 中 国 德 比 第 三 阶 段 比 赛 中 赵 欣 彤 在 局 分 十 一 比 八 领 先 后 保 持 优 势 轰 出 单 杆 一 百 三 十 七 分 过 百 局 最 终 以 总 比 分 十 三 至 九 淘 汰 丁 俊 晖 成 功 晋 级 八 强 获 得 五 万 英 镑 奖 金 约 合 人 民 币 四 十 六 万 元 接 下 来 的 四 分 之 一 决 赛 赵 欣 彤 将 对 阵 肖 温 墨 菲 首 场 比 赛 将 于 四 月 二 十 八 日 十 七 点 开 打,
mimo_full_PCP2_0007,full_sentence,MiMo-V2.5-TTS API,PCP2_0007,real_news_000447,confirmed masked,cdrd_entity,sports_score,31-29,三十一比二十九,三十一至二十九,,三十一至二十九,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,朱 婷 助 力 科 内 利 亚 诺 夺 意 大 利 杯 冠 军 科 内 利 亚 诺 队 在 意 大 利 杯 决 赛 中 以 三 比 零 击 败 斯 坎 迪 奇 队 夺 得 本 赛 季 首 冠 比 赛 三 局 比 分 分 别 为 三 十 一 至 二 十 九 二 十 六 至 二 十 四 和 二 十 七 至 二 十 五 双 方 激 战 焦 灼 加 比 以 二 十 二 分 荣 膺 MVP 朱 婷 贡 献 十 三 分 助 力 球 队 多 次 化 解 危 机 这 是 朱 婷 个 人 职 业 生 涯 的 第 二 十 四 个 冠 军 头 衔,
mimo_full_PCP2_0008,full_sentence,MiMo-V2.5-TTS API,PCP2_0008,real_news_000350,confirmed masked,cdrd_entity,sports_score,10-10,十比十,十至十,,十至十,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,陈 信 彤 连 续 四 局 决 胜 分 险 胜 晋 级 北 京 时 间 四 月 三 日 澳 门 世 界 杯 女 单 八 分 之 一 决 赛 陈 性 童 四 比 二 击 败 迪 亚 兹 晋 级 八 强 二 十 八 岁 的 陈 信 童 在 二 比 零 领 先 后 被 追 至 二 比 二 但 顽 强 的 在 第 五 六 局 连 续 两 次 关 键 分 十 至 十 后 拿 下 比 赛 赛 后 陈 信 彤 表 示 前 两 局 拿 下 后 有 些 放 松 关 键 分 把 握 不 住 但 第 五 局 开 始 放 下 心 态 自 己 打 自 己 的 最 终 锁 定 胜 局 他 的 下 一 轮 对 手 将 是 韩 颖 与 申 育 冰 之 间 的 胜 者,
mimo_full_PCP2_0009,full_sentence,MiMo-V2.5-TTS API,PCP2_0009,real_news_000236,confirmed masked,cdrd_entity,sports_score,6-3,6比3,6至3,,,no_predefined_form,True,wrong_or_noncanonical_form_preserved,audited occurrence is 六至三,吴 一 泽 十 比 七 领 先 墨 菲 再 赢 八 局 夺 冠 赔 率 降 至 一 点 四 四 优 势 扩 大 二 零 二 六 年 斯 诺 克 世 锦 赛 决 赛 第 二 阶 段 战 罢 中 国 选 手 吴 一 泽 十 比 七 领 先 肖 安 墨 菲 决 赛 采 取 三 十 五 局 十 八 胜 制 首 阶 段 双 方 四 比 四 战 平 后 吴 一 泽 在 第 二 阶 段 打 出 六 至 三 的 强 势 表 现 他 只 需 在 今 晚 第 三 四 阶 段 再 赢 八 局 就 将 成 为 首 位 夺 得 世 锦 赛 冠 军 的 零 零 后 球 员 助 中 国 实 现 世 锦 赛 战 连 后 最 新 赔 率 显 示 吴 一 泽 夺 冠 赔 率 已 从 一 点 八 零 降 至 一 点 四 四 优 势 明 显 扩 大,
mimo_full_PCP2_0011,full_sentence,MiMo-V2.5-TTS API,PCP2_0011,real_news_000041,confirmed masked,cdrd_entity,sports_score,3-6,三比六,三至六,,三至六,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,郑 清 雯 决 胜 盘 二 比 四 落 后 连 赢 四 局 罗 马 战 逆 转 邦 达 尔 晋 级 次 轮 五 月 五 日 w 他 一 千 罗 马 站 首 轮 中 国 京 花 郑 清 雯 对 阵 匈 牙 利 选 手 邦 达 尔 最 终 以 首 至 状 态 不 佳 三 至 六 告 负 第 二 盘 一 度 四 比 零 领 先 后 被 追 至 三 比 四 最 终 六 至 三 扳 回 一 城 决 胜 盘 他 在 二 比 四 落 后 的 危 急 关 头 连 胜 四 局 最 终 以 三 至 六 六 至 三 六 至 四 逆 转 取 胜 耗 时 两 小 时 十 八 分 钟 晋 级 次 轮 郑 清 雯 下 一 轮 将 对 阵 赛 会 三 十 号 种 子 布 克 杀,
mimo_full_PCP2_0014,full_sentence,MiMo-V2.5-TTS API,PCP2_0014,real_news_000012,confirmed masked,cdrd_entity,sports_score,11-7,十一比七,十一至七,,十一至七,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,王 一 迪 三 比 零 领 先 遭 逆 转 决 胜 局 十 至 一 逆 袭 申 玉 斌 重 庆 冠 军 赛 女 单 四 分 之 一 决 赛 上 演 惊 心 动 魄 大 战 王 一 迪 前 三 局 以 十 一 至 七 十 一 至 五 十 一 之 六 碾 压 式 领 先 申 玉 斌 却 在 第 四 局 开 始 遭 遇 韩 国 选 手 强 势 反 扑 申 玉 迪 连 扳 三 局 将 比 分 追 至 三 比 三 平 比 赛 被 拖 入 决 胜 局 关 键 时 刻 王 一 迪 爆 发 决 胜 局 开 场 一 度 以 十 比 一 领 先 最 终 十 一 至 二 锁 定 胜 局 总 比 分 四 比 三 险 胜 晋 级 四 强,
mimo_full_PCP2_0015,full_sentence,MiMo-V2.5-TTS API,PCP2_0015,real_news_000314,confirmed masked,cdrd_entity,sports_score,2-1,2比1,二之一,,二之一,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,日 本 台 北 晋 级 越 印 出 局 女 足 亚 洲 杯 二 零 二 六 年 女 足 亚 洲 杯 c 组 收 官 日 本 女 足 四 比 零 大 胜 越 南 女 足 中 国 台 北 女 足 三 比 一 击 败 印 度 女 足 此 队 携 手 晋 级 八 强 日 本 以 九 分 锁 定 小 组 第 一 中 国 台 北 以 六 分 获 得 第 二 越 南 和 印 度 出 局 此 前 八 强 全 部 产 生 中 国 女 足 将 在 四 分 之 一 决 赛 对 阵 中 国 台 北 女 足 比 赛 将 于 三 月 十 四 日 十 三 点 进 行 至 前 中 国 女 足 二 之 一 逆 转 朝 鲜 女 足 获 得 小 组 头 名 成 为 首 支 连 续 十 六 次 晋 级 淘 汰 赛 的 球 队,
