probe_candidate_id,case_id,freeze_id,primary_type,cdrd_label,target_span,expected_reading,raw_tts_actual_reading,negative_readings,raw_text_len,target_first_char_index,target_occurrence_count,source_audio_path,source_audio_duration_seconds,span_center_seconds_est,clip_start_seconds,clip_end_seconds,clip_duration_seconds,clip_audio_path,full_asr_source,full_asr_text,full_default_asr_text,full_omni_strict_asr_text,asr_masking_evidence,isolated_asr_model,isolated_asr_protocol,isolated_asr_text,isolated_asr_label,isolated_asr_match_json,latency_seconds,error,reviewed_isolated_asr_label,reviewed_label_note
PCP2_0001,real_news_000281,P1P2_043,sports_score,cdrd_entity,13-11,十三比十一,十三至十一,"['十三至十一', '十三到十一', '十三负十一', '13至11', '13到11', '13负11', '13减11']",195,3,2,audio/mimo_v25_tts_p1p2_200/raw/real_news_000281.wav,40.8,1.151,0.0,6.0,6.0,audio/span_isolation_iso6s/PCP2_0001_real_news_000281_13-11_iso6s.wav,fallback default ASR (mimo-v2.5),吴宜泽13-11逆转塞尔比晋级世锦赛八强，中国两将会师四分之一决赛。2026斯诺克世锦赛八强全部产生，00后选手吴宜泽在与前世锦赛冠军塞尔比的较量中，从4-4战平到9-7领先，最终顶住压力，以总比分13-11逆转取胜，成功晋级八强，下轮将对阵瓦菲。此前，赵心童已13-9击败丁俊晖。晋级八强后将对阵肖恩·墨菲。随着丁俊晖、肖国栋出局，吴宜泽和赵心童成为仅存的两位中国选手，将在四分之一决赛继续征战。,吴宜泽13-11逆转塞尔比晋级世锦赛八强，中国两将会师四分之一决赛。2026斯诺克世锦赛八强全部产生，00后选手吴宜泽在与前世锦赛冠军塞尔比的较量中，从4-4战平到9-7领先，最终顶住压力，以总比分13-11逆转取胜，成功晋级八强，下轮将对阵瓦菲。此前，赵心童已13-9击败丁俊晖。晋级八强后将对阵肖恩·墨菲。随着丁俊晖、肖国栋出局，吴宜泽和赵心童成为仅存的两位中国选手，将在四分之一决赛继续征战。,吴宜泽十三至十一逆转塞尔比晋级世锦赛八强 中国两将会师四分之一决赛 二零二六斯诺克世锦赛八强全部产生 零零后选手吴宜泽在与前世锦赛冠军塞尔比的较量中 从四比四战平到九比七领先 最终顶住压力以总比分十三至十一逆转取胜 成功晋级八强 下轮将对阵瓦菲 此前赵心童以十三比九击败丁俊晖晋级八强后将对阵肖恩墨菲 随着丁俊晖肖国栋出局 吴宜泽和赵心童成为仅存的两位中国选手 将在四分之一决赛继续征战,Raw读错，但ASR写对,mimo-v2.5,strict_prompt,吴宜泽十三比十一逆转塞尔比晋级世锦赛八强中国两将会师,still_masked,"{""matched_expected"": true, ""matched_surface"": false, ""matched_negative"": []}",4.832,,still_masked,
PCP2_0003,real_news_000355,P1P2_058,sports_score,cdrd_entity,6-2,六比二,六至二,"['六至二', '六到二', '六负二', '6至2', '6到2', '6负2', '6减2']",167,34,3,audio/mimo_v25_tts_p1p2_200/raw/real_news_000355.wav,36.0,7.653,4.653,10.653,6.0,audio/span_isolation_iso6s/PCP2_0003_real_news_000355_6-2_iso6s.wav,fallback default ASR (mimo-v2.5),"辛纳兹维列夫会师迈阿密四强
迈阿密大师赛男单四强产生，二号种子辛纳以6-2、6-2横扫本土选手蒂亚福，全场轰出14记ACE球，延续大师赛15连胜和30盘连赢纪录。三号种子兹维列夫同样发挥出色，以6-1、6-2击败18号种子塞伦德罗，成为首位25次闯入大师赛四强的90后球员。半决赛两人将再次上演巅峰对决，辛纳目前对兹维列夫保持6连胜。
00:00","辛纳兹维列夫会师迈阿密四强
迈阿密大师赛男单四强产生，二号种子辛纳以6-2、6-2横扫本土选手蒂亚福，全场轰出14记ACE球，延续大师赛15连胜和30盘连赢纪录。三号种子兹维列夫同样发挥出色，以6-1、6-2击败18号种子塞伦德罗，成为首位25次闯入大师赛四强的90后球员。半决赛两人将再次上演巅峰对决，辛纳目前对兹维列夫保持6连胜。
00:00",辛纳兹维列夫会师迈阿密四强 迈阿密大师赛男单四强产生，二号种子辛纳以六比二、六比二横扫本土选手蒂亚福，全场轰出十四记A C E球，延续大师赛十五连胜和三十盘连赢纪录,Raw读错，但ASR自动写对6-2。,mimo-v2.5,strict_prompt,实赛男单四强产生二号种子辛纳以六比二六比二横扫本土选手,still_masked,"{""matched_expected"": true, ""matched_surface"": false, ""matched_negative"": []}",17.222,,still_masked,
PCP2_0004,real_news_000320,P1P2_050,sports_score,cdrd_entity,4-3-3,四三三,四减三减,"['四减三减', '4至3至3', '4到3到3', '4负3负3', '4减3减3']",156,83,1,audio/mimo_v25_tts_p1p2_200/raw/real_news_000320.wav,35.68,19.555,16.555,22.555,6.0,audio/span_isolation_iso6s/PCP2_0004_real_news_000320_4-3-3_iso6s.wav,main strict ASR (mimo-v2.5),佛罗伦萨主场迎战卡利亚里，双方阵容出炉。佛罗伦萨将于一月二十四日十八点在主场迎战卡利亚里。佛罗伦萨采用四月一日至四月一日阵型，德赫亚担任门将，皮科利担箭头。卡利亚里则以四减三减出战，由卡普里莱把守大门。双方均有多名球员缺阵，但无人停赛。佛罗伦萨有四人受警告，卡利亚里两人受警告。两队都有充足的替补阵容以应对比赛。,佛罗伦萨主场迎战卡利亚里，双方阵容出炉。佛罗伦萨将于1月24日18点在主场迎战卡利亚里。佛罗伦萨采用4-1-2-1-2阵型，德赫亚担任门将，皮科利担任箭头。卡利亚里则以4-3-3出战，由卡普里莱把守大门。双方均有多名球员缺阵，但无人停赛。佛罗伦萨有四人受警告，卡利亚里两人受警告。两队都有充足的替补阵容以应对比赛。,佛罗伦萨主场迎战卡利亚里，双方阵容出炉。佛罗伦萨将于一月二十四日十八点在主场迎战卡利亚里。佛罗伦萨采用四月一日至四月一日阵型，德赫亚担任门将，皮克利担箭头。卡利亚里则以四减三减出战，由卡普里莱把守大门。双方均有多名球员缺阵，但无人停赛。佛罗伦萨有四人受警告，卡利亚里两人受警告。两队都有充足的替补阵容以应对比赛。,Raw TTS 将“4-3-3”读作“四减三减”，default ASR 仍转写为“4-3-3”，错误发音被ASR自动纠正，因此形成masking。,mimo-v2.5,strict_prompt,但见头，卡利亚里则以四减三减出战，由卡普里莱把守大门。,exposed,"{""matched_expected"": false, ""matched_surface"": false, ""matched_negative"": [""四减三减""]}",4.497,,exposed,
PCP2_0005,real_news_000429,P1P2_074,sports_score,cdrd_entity,13-9,十三比九,十三至九,"['十三至九', '十三到九', '十三负九', '13至9', '13到9', '13负9', '13减9']",203,3,2,audio/mimo_v25_tts_p1p2_200/raw/real_news_000429.wav,44.96,1.107,0.0,6.0,6.0,audio/span_isolation_iso6s/PCP2_0005_real_news_000429_13-9_iso6s.wav,fallback default ASR (mimo-v2.5),赵心童13-9淘汰丁俊晖，晋级世锦赛八强！赢得46万奖金，将战墨菲。2026斯诺克世锦赛八分之一决赛，29岁卫冕冠军赵心童对阵39岁的丁俊晖，这是一场万众瞩目的中国德比。第三阶段比赛中，赵心童在局分11比8领先后保持优势，轰出单杆137分过百局，最终以总比分13-9淘汰丁俊晖，成功晋级八强，获得5万英镑奖金，约合人民币46万元。接下来的四分之一决赛，赵心童将对阵肖恩·墨菲，首场比赛将于4月28日17点开打。,赵心童13-9淘汰丁俊晖，晋级世锦赛八强！赢得46万奖金，将战墨菲。2026斯诺克世锦赛八分之一决赛，29岁卫冕冠军赵心童对阵39岁的丁俊晖，这是一场万众瞩目的中国德比。第三阶段比赛中，赵心童在局分11比8领先后保持优势，轰出单杆137分过百局，最终以总比分13-9淘汰丁俊晖，成功晋级八强，获得5万英镑奖金，约合人民币46万元。接下来的四分之一决赛，赵心童将对阵肖恩·墨菲，首场比赛将于4月28日17点开打。,赵心童十三至九淘汰丁俊晖晋级世锦赛八强赢得四十六万奖金将战墨菲。二零二六斯诺克世锦赛八分之一决赛，二十九岁卫冕冠军赵心童对阵三十九岁的丁俊晖，这是一场万众瞩目的中国德比。第三阶段比赛中，赵心童在局分十一比八领先后保持优势，轰出单杆一百三十七分过百局，最终以总比分十三比九淘汰丁俊晖，成功晋级八强，获得五万英镑奖金，约合人民币四十六万元。接下来的四分之一决赛，赵心童将对阵肖恩墨菲，首场比赛将于四月二十八日十七点开打。,Raw TTS读错十三至九，但ASR自动写对13-9。错误发音被ASR自动纠正，因此形成masking。,mimo-v2.5,strict_prompt,,no_output,"{""matched_expected"": false, ""matched_surface"": false, ""matched_negative"": []}",2.049,,no_output,
PCP2_0007,real_news_000447,P1P2_080,sports_score,cdrd_entity,31-29,三十一比二十九,三十一至二十九,"['三十一至二十九', '三十一到二十九', '三十一负二十九', '31至29', '31到29', '31负29', '31减29']",136,60,1,audio/mimo_v25_tts_p1p2_200/raw/real_news_000447.wav,31.2,14.338,11.338,17.338,6.0,audio/span_isolation_iso6s/PCP2_0007_real_news_000447_31-29_iso6s.wav,main strict ASR (mimo-v2.5),朱婷助力科内利亚诺夺意大利杯冠军。科内利亚诺队在意大利杯决赛中以三比零击败斯坎迪奇队，夺得本赛季首冠。比赛三局比分分别为三十一至二十九、二十六至二十四和二十七至二十五，双方激战胶着。加比以二十二分荣膺MVP，朱婷贡献十三分，助力球队多次化解危机。这是朱婷个人职业生涯的第二十四个冠军头衔。,朱婷助力科内利亚诺夺意大利杯冠军，科内利亚诺队在意大利杯决赛中以3:0击败斯坎迪奇队，夺得本赛季首冠。比赛三局比分分别为31:29、26:24和27:25，双方激战胶着。加比以22分荣膺MVP，朱婷贡献13分，助力球队多次化解危机，这是朱婷个人职业生涯的第二十四个冠军头衔。,朱婷助力科内利亚诺夺意大利杯冠军科内利亚诺队在意大利杯决赛中以三比零击败斯坎迪奇队夺得本赛季首冠比赛三局比分分别为三十一比二十九二十六比二十四和二十七比二十五双方激战胶着加比以二十二分荣膺MVP朱婷贡献十三分助力球队多次化解危机这是朱婷个人职业生涯的第二十四个冠军头衔,RAW将其“31-29”读错为“三十一至二十九”。default ASR将其写对了：“31:29”。31:29与31-29都是正确表达比分的文字形式,mimo-v2.5,strict_prompt,比赛三局比分为三十一至二十九、二十六至二十四和二十七至二十五。,exposed,"{""matched_expected"": false, ""matched_surface"": false, ""matched_negative"": [""三十一至二十九""]}",19.565,,exposed,
PCP2_0008,real_news_000350,P1P2_057,sports_score,cdrd_entity,10-10,十比十,十至十,"['十至十', '十到十', '十负十', '10至10', '10到10', '10负10', '10减10']",176,92,1,audio/mimo_v25_tts_p1p2_200/raw/real_news_000350.wav,34.88,18.728,15.728,21.728,6.0,audio/span_isolation_iso6s/PCP2_0008_real_news_000350_10-10_iso6s.wav,main strict ASR (mimo-v2.5),陈幸同连续四局决胜分险胜晋级。北京时间四月三日，澳门世界杯女单八分之一决赛，陈幸同四比二击败迪亚兹晋级八强。二十八岁的陈幸同在二比零领先后被追至二比二，但顽强地在第五、六局连续两次关键分十至十后拿下比赛。赛后陈幸同表示，前两局拿下后有些放松，关键分把握不住，但第五局开始放下心态，自己打自己的，最终锁定胜局。她的下一轮对手将是韩莹与申裕斌之间的胜者。,陈幸同连续四局决胜分险胜晋级。北京时间4月3日澳门世界杯女单八分之一决赛，陈幸同4:2击败迪亚兹晋级八强。28岁的陈幸同在2:0领先后被追至2:2，但顽强的在第五六局连续两次关键分10:10后拿下比赛。赛后陈幸同表示，前两局拿下后有些放松，关键分把握不住，但第五局开始放下心态，自己打自己的，最终锁定胜局。她的下一轮对手将是韩莹与申裕斌之间的胜者。,陈幸同连续四局决胜分险胜晋级。北京时间四月三日，澳门世界杯女单八分之一决赛，陈幸同四比二击败迪亚兹晋级八强。二十八岁的陈幸同在二比零领先后被追至二比二，但顽强地在第五、六局连续两次关键分十至十后拿下比赛。赛后，陈幸同表示，前两局拿下后有些放松，关键分把握不住，但第五局开始放下心态，自己打自己的，最终锁定胜局。她的下一轮对手将是韩莹与申裕斌之间的胜者。,RAW将其“10-10”读错为“十至十”。default ASR将其写对了：“10:10”。10-10与10:10都是正确表达比分的文字形式,mimo-v2.5,strict_prompt,顽强的在第五六局连续两次关键分十十之后拿下比赛。赛后,other_transcript,"{""matched_expected"": false, ""matched_surface"": false, ""matched_negative"": []}",26.214,,other_transcript,Non-empty transcript but not enough evidence for expected/surface or known wrong reading.
PCP2_0009,real_news_000236,P1P2_037,sports_score,cdrd_entity,6-3,6比3,6至3,"['6至3', '六到三', '六负三', '6到3', '6负3', '6减3']",196,104,1,audio/mimo_v25_tts_p1p2_200/raw/real_news_000236.wav,40.8,21.961,18.961,24.961,6.0,audio/span_isolation_iso6s/PCP2_0009_real_news_000236_6-3_iso6s.wav,main strict ASR (mimo-v2.5),吴一泽十比七领先墨菲，再赢八局夺冠赔率降至一点四四，优势扩大。二零二六年斯诺克世锦赛决赛第二阶段战罢，中国选手吴一泽十比七领先肖恩墨菲。决赛采取三十五局十八胜制，首阶段双方四比四战平后，吴一泽在第二阶段打出六至三的强势表现。他只需在今晚第三四阶段再赢八局，就将成为首位夺得世锦赛冠军的零零后球员，助中国实现世锦赛两连冠。最新赔率显示，吴一泽夺冠赔率已从一点八零降至一点四四，优势明显扩大。,吴宜泽10比7领先墨菲，再赢八局夺冠赔率降至1.44优势扩大。2026年斯诺克世锦赛决赛第二阶段战罢，中国选手吴宜泽10比7领先肖恩·墨菲。决赛采用35局18胜制，首阶段双方4比4战平后，吴宜泽在第二阶段打出6比3的强势表现。他只需在今晚第三、四阶段再赢8局，就将成为首位夺得世锦赛冠军的00后球员，助中国实现世锦赛两连冠。最新赔率显示，吴宜泽夺冠赔率已从1.80降至1.44，优势明显扩大。,吴一泽十比七领先墨菲再赢八局夺冠赔率降至一点四四优势扩大二零二六年斯诺克世锦赛决赛第二阶段战罢中国选手吴一泽十比七领先肖恩墨菲决赛采取三十五局十八胜制首阶段双方四比四战平后吴一泽在第二阶段打出六至三的强势表现他只需在今晚第三四阶段再赢八局就将成为首位夺得世锦赛冠军的零零后球员助中国实现世锦赛两连冠最新赔率显示吴一泽夺冠赔率已从一点八零降至一点四四优势明显扩大,RAW将其“6-3”读错为“六至三”。default ASR将其写对了：“6比3”。,mimo-v2.5,strict_prompt,四战平后，吴一泽在第二阶段打出六至三的强势表现，他只需在今晚,other_transcript,"{""matched_expected"": false, ""matched_surface"": false, ""matched_negative"": []}",14.983,,exposed,"ASR writes 六至三, matching wrong range reading despite expected stored as 6比3."
PCP2_0011,real_news_000041,P1P2_017,sports_score,cdrd_entity,3-6,三比六,三至六,"['三至六', '三到六', '三负六', '3至6', '3到6', '3负6', '3减6']",180,73,2,audio/mimo_v25_tts_p1p2_200/raw/real_news_000041.wav,34.24,14.172,11.172,17.172,6.0,audio/span_isolation_iso6s/PCP2_0011_real_news_000041_3-6_iso6s.wav,main strict ASR (mimo-v2.5),正清文决胜盘二比四落后连赢四局罗马站逆转邦达尔晋级次轮 五月五日WTA一千罗马站首轮中国金花正清文对阵匈牙利选手邦达尔 正清文首盘状态不佳三至六告负第二盘一度四比零领先后被追至三比四最终六至三扳回一城 决胜盘她在二比四落后的危急关头连胜四局最终以三至六六至三六至四逆转取胜耗时两小时十八分钟晋级次轮 正清文下一轮将对阵赛会三十号种子布克沙,"这段对话中没有包含音频文件，我无法进行音频转写。

如果您有音频文件需要转写，请上传音频文件，我会帮您完成转写工作。

如果您是想让我确认或处理您提供的这段文字内容，请告诉我具体需求。",郑钦文决胜盘二比四落后连赢四局罗马站逆转邦达尔晋级次轮。五月五日WTA一千罗马站首轮，中国金花郑钦文对阵匈牙利选手邦达尔。郑钦文首盘状态不佳三比六告负，第二盘一度四比零领先后被追至三比四，最终六比三扳回一城。决胜盘她在二比四落后的危急关头连胜四局，最终以三比六、六比三、六比四逆转取胜，耗时两小时十八分钟晋级次轮。郑钦文下一轮将对阵赛会三十号种子布克沙。,Raw TTS读错为：三至六。omni strict ASR 写对为：三比六,mimo-v2.5,strict_prompt,,no_output,"{""matched_expected"": false, ""matched_surface"": false, ""matched_negative"": []}",32.552,,no_output,
PCP2_0014,real_news_000012,P1P2_006,sports_score,cdrd_entity,11-7,十一比七,十一至七,"['十一至七', '十一到七', '十一负七', '11至7', '11到7', '11负7', '11减7']",169,53,1,audio/mimo_v25_tts_p1p2_200/raw/real_news_000012.wav,36.32,11.82,8.82,14.82,6.0,audio/span_isolation_iso6s/PCP2_0014_real_news_000012_11-7_iso6s.wav,main strict ASR (mimo-v2.5),王艺迪三比零领先遭逆转决胜局十至一逆袭申裕斌重庆冠军赛女单四分之一决赛上演惊心动魄大战王艺迪前三局以十一至七十一至五十一至六碾压式领先申裕斌却在第四局开始遭遇韩国选手强势反扑申裕斌连扳三局将比分追至三比三平比赛被拖入决胜局关键时刻王艺迪爆发决胜局开场一度以十比一领先最终十一至二锁定胜局总比分四比三险胜晋级四强,"王艺迪3:0领先遭逆转决胜局11:1逆袭申裕斌

重庆冠军赛女单四分之一决赛上演惊心动魄大战：王艺迪前三局以11:7、11:5、11:6碾压式领先申裕斌，却在第四局开始遭遇韩国选手强势反扑，申裕斌连扳三局将比分追至3:3平，比赛被拖入决胜局。关键时刻王艺迪爆发，决胜局开场一度以10:1领先，最终11:2锁定胜局，总比分4:3险胜晋级四强。",王艺迪三比零领先遭逆转决胜局十比一逆袭申裕斌重庆冠军赛女单四分之一决赛上演惊心动魄大战王艺迪前三局以十一比七十一比五十一比六碾压式领先申裕斌却在第四局开始遭遇韩国选手强势反扑申裕斌连扳三局将比分追至三比三平比赛被拖入决胜局关键时刻王艺迪爆发决胜局开场一度以十比一领先最终十一比二锁定胜局总比分四比三险胜晋级四强,Raw TTS 读错，11-7为 十一至七。但是default ASR 将其写对了为11:7。,mimo-v2.5,strict_prompt,,no_output,"{""matched_expected"": false, ""matched_surface"": false, ""matched_negative"": []}",26.212,,no_output,
PCP2_0015,real_news_000314,P1P2_048,sports_score,cdrd_entity,2-1,2比1,二之一,"['二之一', '二到一', '二负一', '2至1', '2到1', '2负1', '2减1']",189,155,1,audio/mimo_v25_tts_p1p2_200/raw/real_news_000314.wav,38.88,32.194,29.194,35.194,6.0,audio/span_isolation_iso6s/PCP2_0015_real_news_000314_2-1_iso6s.wav,main strict ASR (mimo-v2.5),日本台北晋级越印出局女足亚洲杯。二零二六年女足亚洲杯C组收官，日本女足四比零大胜越南女足，中国台北女足三比一击败印度女足，两队携手晋级八强。日本以九分锁定小组第一，中国台北以六分获得第二，越南和印度出局。至此八强全部产生，中国女足将在四分之一决赛对阵中国台北女足，比赛将于三月十四日十三点进行。此前中国女足二之一逆转朝鲜女足，获得小组头名，成为首支连续十六次晋级淘汰赛的球队。,日本、台北晋级，越南、印度出局。女足亚洲杯，2026年女足亚洲杯C组收官，日本女足4比0大胜越南女足，中国台北女足3比1击败印度女足，两队携手晋级八强。日本以9分锁定小组第一，中国台北以6分获得第二，越南和印度出局。至此，八强全部产生，中国女足将在四分之一决赛对阵中国台北女足，比赛将于3月14日13点进行。此前中国女足2比1逆转朝鲜女足获得小组头名，成为首支连续16次晋级淘汰赛的球队。,日本台北晋级月印出局女足亚洲杯。二零二六年女足亚洲杯C组收官，日本女足四比零大胜越南女足，中国台北女足三比一击败印度女足，两队携手晋级八强。日本以九分锁定小组第一，中国台北以六分获得第二，越南和印度出局。至此八强全部产生，中国女足将在四分之一决赛对阵中国台北女足，比赛将于三月十四日十三点进行。此前中国女足二比一逆转朝鲜女足获得小组头名，成为首支连续十六次晋级淘汰赛的球队。,Raw TTS 读错，2-1为 二之一。但是default ASR和omni strict ASR 将其写对了为2比1,mimo-v2.5,strict_prompt,,no_output,"{""matched_expected"": false, ""matched_surface"": false, ""matched_negative"": []}",33.352,,no_output,
